Código,Descripción,Clase,Familia,Segmento
12352111,Amidas o imidas Es un compuesto orgánico que consiste en unaamina unida a,,,
12352112,Esteres o sus,,,
12352113,Tioéteres,,,
12352114,Aldehídos o sus,,,
12352115,Cetonas o quinonas,,,
12352116,Amines o imines o,,,
12352117,Cianuros o,,,
12352119,Óxidos orgánicos Compuesto binario que contiene uno o varios átomos de,,,
12352120,Peróxidos orgánicos,,,
12352121,Hidróxidos orgánicos,,,
12352123,Ureidos o purinas o,,,
12352124,Azo compuestos o,,,
12352125,"Azidas o azinas  Las azinas se forman por reacción de aldehídos con hidrazina. Azidas o azinas,Azida o azina Derivados orgánicos y",,,
12352126,Oximas,,,
12352128,Fosfinas,,,
12352129,Amidinas o imidinas,,,
12352130,Intermedios de,,,
12352201,Carbohidratos o sus,,,
12352202,Proteínas,,,
12352203,Anticuerpos,,,
12352204,Enzimas,,,
12352205,Nutrientes,,,
12352206,Tejidos,,,
12352207,Cultivos y fluidos Son muestras de composiciones químicas de seres vivos. Cultivos y fluidos Productos bioquímicos Compuestos y,,,
12352208,Ácido nucleico,,,
12352209,Aminoácidos o sus,,,
12352210,Alcaloides,,,
12352211,Grasas o lípidos,,,
12352212,Terpenoides,,,
12352301,Ácidos inorgánicos,,,
12352302,Sales metálicas,,,
12352303,Óxidos inorgánicos,,,
12352304,Peróxidos,,,
12352305,Hidróxidos,,,
12352306,Hídridos inorgánicos,,,
12352307,Halidos ácidos o sus,,,
12352308,Silicatos,,,
12352309,Sílice,,,
12352310,Siliconas,,,
12352312,Permanganato de,,,
12352401,Mezclas químicas,,,
12352402,Mezclas químicas,,,
12352501,Formaldehidos,,,
12352502,Glutarales,,,
12352503,Taninos,,,
13101501,Caucho látex,,,
13101502,Caucho crepe,,,
13101503,Caucho hoja,,,
13101504,Caucho espuma,,,
13101505,Caucho bloque o,,,
13101601,Caucho vulcanizado,,,
13101602,Caucho clorado,,,
13101603,Caucho clorhidrato,,,
13101604,Caucho ciclizado,,,
13101605,Caucho isomerizado,,,
13101606,Caucho,,,
13101607,Compuesto de,,,
13101701,Butadieno,,,
13101702,Nitrilo altamente,,,
13101703,Fluorocarbono fcm,,,
13101704,Propileno etileno epe,,,
13101705,Butadieno estireno,,,
13101706,Clorpreno cr,,,
13101707,Isopreno isobutileno,,,
13101708,Silicona vmq y pmq y,,,
13101709,Fluorosilicona fvmq,,,
13101710,Poliacrilato acm,,,
13101711,Etileno acrílico aem,,,
13101712,Polietileno,,,
13101713,Cloropolietileno cm,,,
13101714,"Epicloridrina Compuesto tóxico, con probable actividad carcinógena Epiclorohidrina (ECO),oxirano derivado del 3-",,,
