Código,Descripción,Definición,Auxiliar,Denominación
40101702,Intercambiadores de enfriado Un componente de un sistema hidráulico que alivia el calor,,,
40101703,Enfriadores de evaporación,,,
40101704,Unidades de condensación,,,
40101707,Accesorios para torres de,,,
40101808,Estufas de calefacción Un aparato en el que la electricidad o un combustible se utiliza para suministrar,,,
40141607,Válvulas de bola,,,
40141609,Válvulas de control,,,
40141610,Válvulas de flotación,,,
40141631,Válvulas de bombeo,,,
40141701,Desagües Diseñado para drenar el exceso de lluvia y agua superficial desde calles,,,
40141703,Boquillas de ducha Es una boquilla perforada que distribuye agua sobre un gran ángulo sólido en el,,,
40141704,Espigas Un grifo de madera colocado en la boca de tonel de un barril.,,2.3.6.3,.04-Herramientas
40141716,Sifones en P Formación de un sello de agua en una tubería de desagüe o en el suelo trampa en,,,
40141720,Conectores para plomería,,,
40141725,Ganchos (soportes) para,,,
40141731,Boquillas,,,
40141734,Conectores para mangueras Un tipo de conexión se utiliza para conectar una manguera a otro componente de,,,
40141742,Atomizadores,,,
40142005,Mangueras para manipular,,,
40142006,"Mangueras de aceite Un conducto flexible que consta de un tubo, refuerzo, y por lo general una",,,
40142007,"Mangueras especiales Un conducto flexible que consta de un tubo, refuerzo, y por lo general una",,,
40142008,Mangueras de agua Una manguera de agua es un tubo hueco flexible diseñado para transportar agua,,,
40142009,Mangueras multipropósito,,,
40142101,Tubería de acero al carbono,,,
40142117,Tubería de acero inoxidable,,,
40142201,Reguladores de gas,,,
40142202,Reguladores de fluido Una válvula para regular la presión del flujo de líquido para mantener una presión,,,
40142313,Tapón de tubería Un accesorio de tubería con roscas exteriores y una cabeza que sobresale se,,,
40142315,Acoplamientos de tubería Una junta o pieza para unir dos tubos así como para formar un canal,,,
40142323,Disco de ruptura,,,
40142324,Cajas de conexiones de,,,
40142405,Bridas de casquillo largo para,,,
40142501,"Filtros (coladores) de líquido Uno que las cepas, como un dispositivo que se utiliza para separar líquidos de",,,
40142604,"Codos de tubo Un accesorio de tubo de acero que une dos tubos en ángulo recto, o 90 grados.",,2.3.6.3,.06-Productos
40151532,Bombas de combustible,,,
40151533,Bombas hidráulicas,,,
40151607,"Compresores refrigerantes Es un componente de un frigorífico, que está diseñado para comprimir el",,,
40161526,Retenedores o accesorios,,,
40161602,Limpiadores de aire,,,
41102705,Cristalizadores,,,
41102921,Parafina para histología Aceite minera altamente refinado que se utiliza en el estudio de los tejidos,,,
41103511,Accesorios de cerramiento,,,
41104003,Línea de preparación de,,,
41104211,Suavizantes Un suavizante textil es un producto que se utiliza comúnmente en el proceso de,,,
41105317,Reactivos para preparar,,,
41105319,Reactivos para preparar gel,,,
41106101,"Kits citogenéticos Conjunto de instrumentos que se utiliza para el estudio de la estructura, función y",,,
41106214,Reactivos para preparar,,,
41111604,Reglas Instrumento de medición,,2.3.9.9,.01-Productos y Útiles
41111621,Calibradores,,,
41111739,Bombillos de repuesto para,,,
41111903,Detectores de metales,,,
41111928,Sensores de corriente Un sensor de corriente es un dispositivo que detecta la corriente eléctrica (CA o,,,
41111930,Sensores de corriente,,,
41112504,Medidores de agua,,,
41113637,Medidores de voltaje o de,,,
41113643,Medidores o registros de,,,
41115602,Equipo de análisis,,,
41115815,Analizadores de hematología,,,
41115827,Analizadores de orina Analizador de partículas de orina.,,,
41116001,Reactivos analizadores de,,,
41116002,Reactivos analizadores de,,,
41116004,Reactivos analizadores de,,,
41116005,Reactivos analizadores de,,,
41116008,Reactivos analizadores de,,,
41116009,Reactivos analizadores de,,,
41116011,Reactivos analizadores de,,,
41116012,Reactivos analizadores de,,,
41116013,Reactivos analizadores radio,,,
41116014,Reactivos analizadores de,,,
41116102,Reactivos o soluciones de,,,
41116105,Reactivos o soluciones,,,
41116109,Reactivos o soluciones de,,,
41116121,Reactivos o soluciones o,,,
41116201,Monitores o medidores de,,,
41121515,Bombillos de pipetas,,,
41121706,Tubos de cultivo,,,
41121801,Vasos de observación para,,,
41121803,Vasos de precipitados para,,,
41121806,Frascos para laboratorio,,,
41121813,Cubetas,,,
41122411,Cronómetros o relojes para,,,
41122601,Portaobjetos para,,,
42131501,"Petos para pacientes Un babero es una prenda usada colgando del cuello, en el pecho para proteger la",,,
42131502,Gorras para pacientes Es una prenda redonda de tela o de punto que sirve para cubrir y abrigar la,,,
42131504,Batas para pacientes Prenda holgada abierta por detrás usadas por los pacientes de los hospitales o,,,
42131509,Batas de hospital,,,
42131602,Cobertores de barba para,,,
42131604,Gorro de quirófano para,,,
42131605,Overoles para personal,,,
42131607,Chaquetas o batas para,,,
42131611,Gorros o capuchas para,,,
42132101,Protectores de colchón o silla,,,
42132102,Sábanas elásticas médicas Sábanas ajustables para protección del colchón de las secreciones del paciente y,,,
42143101,Catéteres o kits de,,,
42151902,Kits de profilaxis para uso,,,
42152406,Pastas abrasivas de uso,,,
42152423,Sellantes de huecos o fisuras,,,
42152424,Cementos de base de agua,,,
42152425,Resinas de base para prótesis,,,
42152428,Resinas de relleno directo Las resinas compuestas formadas por un componente orgánico polimérico,,,
42152429,Materiales elastoméricos,,,
42152443,Cementos de óxido de zinc,,,
42152808,"Curetas para periodoncia Instrumentos con bordes cortantes redondeados que sirven para limar hueso,",,,
42181503,Lubricantes o gelatinas,,,
42181601,Unidades de presión de,,,
42181801,Unidades para oxímetros de,,,
42191610,Módulos de trabajo para uso,,,
42192602,Dispensadores de pastillas o,,,
42201801,Películas de rayos x para,,,
42203704,Toners o desarrolladores,,,
42271802,Nebulizadores o accesorios,,,
42272008,Sondas o guías de intubación Elemento utilizado para posicionar los tubos para la intubación.,,2.6.3.1,.01-Equipo médico y
42272504,Sets o kits de anestesia,,,
42281508,Autoclaves o esterilizadores,,,
42281601,Soluciones de,,,
42281603,Desinfectante o esterilizador,,,
42281704,Limpiadores o detergentes,,,
42291614,Tijeras para uso quirúrgico Instrumentos medicos quirurgicos de corte y disección para cirugías en algunas,,,
42291706,Fresas quirúrgicas o sus,,,
42293505,Sondas de drenaje de,,,
42293603,Sondas para uso quirúrgico,,,
42294219,Sets de instrumentos para,,,
42294509,Agujas para cirugía oftálmica,,,
42294525,Sets de instrumentos,,,
42295407,Máscaras para pacientes de,,,
42295451,Guantes de preparación para,,,
42295524,Lente intraocular iol,,,
42312311,Kits de desinfectantes Conjunto de elementos utilizados con la finalidad de reducir los organismos,,,
42312313,Soluciones de limpieza de,,,
43201509,Módulos de intercambio de,,,
43201537,Servidores de impresoras,,,
43201803,Unidades de disco duro Dispositivo de almacenamiento de datos no volátil que emplea un sistema de,,,
43202205,Teclas o teclados La parte superior reemplazable del teclado.,,,
43211601,Cajas de interruptores de,,,
43211602,"Estaciones de acoplamiento Dispositivo que proporciona una forma simplificada de ""conectar-in"" de un",,,
43211604,Cajas de interruptores,,,
43211607,Parlantes de computador,,,
43211609,Concentrador de bus serial,,,
43211714,Equipos de identificación,,,
43211719,Micrófonos de voz para,,,
43211802,Almohadillas (pads) para,,,
43211902,Paneles o monitores de,,,
43212002,Brazos o soportes para,,,
43231512,Software de manejo de,,,
43232907,Software de almacenamiento,,,
44101503,Máquinas multifuncionales Es un periférico que se conecta a la computadora y que posee las siguientes,,,
44101602,Máquinas perforadoras o,,,
44101703,Unidades de impresión a,,,
44101719,Accesorios de copiado o,,,
44102904,Aerosol de aire comprimido Aerosoloes de aire que ha sido sometido a presión por medio de un compresor.,,,
44102910,Laminadora Elemento donde se colocan los elementos necesarios para realizar la laminación,,,
44103101,"Correas de impresoras, fax o",,,
44103104,Rollos de transferencia Elemento utilizado dentro de las impresoras con la finalidad de cumplir con la,,,
44103109,Tambores para impresoras o,,,
44103112,Cinta de impresora,,,
44111510,Organizadores o accesorios,,,
44111516,Organizadores personales,,,
44111607,"Archivos de cheques Organizador comunmente en forma de acordeon, para almacenar los cheques.",,2.6.1.1,".01-Muebles, equipos"
44111805,"Curvas Plantillas que sirven para trazar curvas, estando estas definidas sobre sus bordes",,,
44111911,Tableros blancos interactivos,,,
44121619,Tajalápices manuales,,,
44121631,Dispensadores de goma o,,,
44121634,Rollos adhesivos Cilindros que cuentan con un material que cuenta en uno de sus lados con,,,
44121635,Husos para cinta adhesiva Dispositivo que esta diseñado para sostener la cinta adhesiva para poder ser,,,
44121701,Bolígrafos,,,
44121702,Sets de esferos o lápices Conjunto de instrumentos para la escritura sea permanente o temporal.,,,
44121703,Estilógrafos,,,
44121704,Esferos de punta redonda,,,
44121708,"Marcadores Es un instrumento de escritura, parecido al bolígrafo, que contiene su propia tinta",,,
